R_IDTOTS_C,R_ID_C,R_EXPEDIENT_C,R_EMPRESA_C,R_ESTADO_FC,R_PROVEEDOR_C,R_FECHA_EMISION_C,R_NUMERO_CP,R_NUMERO_CA,R_NUMERO_CF,R_IMPORTE_C,R_ACUMULADO_C,R_FECHA_ENTREGA,Expediente,Empresa,Data entrega,Estat entrega,A_IDTOTS_CP,A_CLAU_UNICA_CP,A_ID_CP,A_EXPEDIENT_CP,A_EMPRESA_CP,A_REF_ODOO_CP,A_FECHA_ALTA_ODOO_CP,A_NUMERO_CP,A_FECHA_EMISION_CP,A_PROVEEDOR_CP,A_IMPORTE_CP,A_ACUMULADO_CP,A_ESTADO_CP,A_ESTADO_FACTURACION_CP,_merge
1,1,5796,ADG32 5796 NSACARES SL,Cancel·lada,ALUBIX SL,2025-10-17,535275,1,2025/00001,1130.14,1130.14,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,2,5796-C-C/00002,2,5796,ADG32 5796 NSACARES SL,C-C/00002,2025-10-17,535275,2025-10-17,ALUBIX SL,1130.14,2444.2,Pedido de compra,Totalmente facturado,both
2,2,5796,ADG32 5796 NSACARES SL,Cancel·lada,ROCALLA SA,2025-10-17,535296,5,2025/00002,1314.06,2444.2,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,1,5796-C-C/00001,1,5796,ADG32 5796 NSACARES SL,C-C/00001,2025-10-17,535296,2025-10-17,ROCALLA SA,1314.06,1314.06,Pedido de compra,Totalmente facturado,both
3,3,5796,ADG32 5796 NSACARES SL,Pagada,ALUBIX SL,2025-10-22,537495,10,2025/00005,3714.7,6158.9,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,3,5796-C-C/00003,3,5796,ADG32 5796 NSACARES SL,C-C/00003,2025-10-22,537495,2025-10-22,ALUBIX SL,3714.7,6158.9,Pedido de compra,Totalmente facturado,both
4,4,5796,ADG32 5796 NSACARES SL,Pagada,ROCALLA SA,2025-10-22,537501,10,2025/00005,4319.7,10478.6,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,4,5796-C-C/00004,4,5796,ADG32 5796 NSACARES SL,C-C/00004,2025-10-22,537501,2025-10-22,ROCALLA SA,4319.7,10478.6,Pedido de compra,Totalmente facturado,both
5,5,5796,ADG32 5796 NSACARES SL,Pagada,ALUBIX SL,2025-10-29,540082,13,2025/00006,3780.04,14258.64,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,5,5796-C-C/00005,5,5796,ADG32 5796 NSACARES SL,C-C/00005,2025-10-29,540082,2025-10-29,ALUBIX SL,3780.04,14258.64,Pedido de compra,Totalmente facturado,both
6,6,5796,ADG32 5796 NSACARES SL,Pagada,ROCALLA SA,2025-10-29,540087,15,2025/00010,4126.1,18384.74,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,6,5796-C-C/00006,6,5796,ADG32 5796 NSACARES SL,C-C/00006,2025-10-29,540087,2025-10-29,ROCALLA SA,4126.1,18384.74,Pedido de compra,Totalmente facturado,both
7,7,5796,ADG32 5796 NSACARES SL,Pagada,ALUBIX SL,2025-11-05,542282,17,2025/00008,3523.52,21908.26,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,7,5796-C-C/00007,7,5796,ADG32 5796 NSACARES SL,C-C/00007,2025-11-05,542282,2025-11-05,ALUBIX SL,3523.52,21908.26,Pedido de compra,Totalmente facturado,both
8,8,5796,ADG32 5796 NSACARES SL,Pagada,ROCALLA SA,2025-11-05,542284,17,2025/00013,4467.32,26375.58,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,8,5796-C-C/00008,8,5796,ADG32 5796 NSACARES SL,C-C/00008,2025-11-05,542284,2025-11-05,ROCALLA SA,4467.32,26375.58,Pedido de compra,Totalmente facturado,both
9,9,5796,ADG32 5796 NSACARES SL,Pagada,ALUBIX SL,2025-11-12,544978,20,2025/00013,4038.98,30414.56,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,10,5796-C-C/00010,10,5796,ADG32 5796 NSACARES SL,C-C/00010,2025-11-12,544978,2025-11-12,ALUBIX SL,4038.98,34896.4,Pedido de compra,Totalmente facturado,both
10,10,5796,ADG32 5796 NSACARES SL,Pagada,ROCALLA SA,2025-11-12,544979,18,2025/00017,4481.84,34896.4,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,9,5796-C-C/00009,9,5796,ADG32 5796 NSACARES SL,C-C/00009,2025-11-12,544979,2025-11-12,ROCALLA SA,4481.84,30857.42,Pedido de compra,Totalmente facturado,both
