ID-TOTS,ID,A_EXPEDIENT_HES,A_EMPRESA_HES,A_PRODUCTE_HES,A_DATA_HES,A_REFERENCIA_HES,A_ORIGEN_HES,A_DESTI_HES,A_UNITATS_HES,A_IN_HES,A_OUT_HES,A_STOCK_HES,A_OPERACIO_HES,A_ESTAT_HES
1,1,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-10-17 09:44:32,MGZ01/ENTRA/00002,Vendors,MGZ01/Stock,33,33,,33,OP_INICIAL,Hecho
2,2,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-10-17 10:22:08,MGZ01/SURT/00001,MGZ01/Stock,Customers,33,,33,0,OP_INTERMITJA,Hecho
3,3,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-10-22 12:54:43,MGZ01/ENTRA/00004,Vendors,MGZ01/Stock,100,100,,100,OP_INTERMITJA,Hecho
4,4,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-10-23 08:49:09,MGZ01/SURT/00003,MGZ01/Stock,Customers,31,,31,69,OP_INTERMITJA,Hecho
5,5,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-10-23 08:49:48,MGZ01/SURT/00004,MGZ01/Stock,Customers,32,,32,37,OP_INTERMITJA,Hecho
6,6,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-10-23 08:51:46,MGZ01/SURT/00005,MGZ01/Stock,Customers,37,,37,0,OP_INTERMITJA,Hecho
7,7,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-10-29 09:28:14,MGZ01/ENTRA/00007,Vendors,MGZ01/Stock,113,113,,113,OP_INTERMITJA,Hecho
8,8,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-10-29 09:32:47,MGZ01/SURT/00007,MGZ01/Stock,Customers,34,,34,79,OP_INTERMITJA,Hecho
9,9,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-10-29 09:35:12,MGZ01/SURT/00008,MGZ01/Stock,Customers,36,,36,43,OP_INTERMITJA,Hecho
10,10,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-10-29 09:36:44,MGZ01/SURT/00009,MGZ01/Stock,Customers,43,,43,0,OP_INTERMITJA,Hecho
11,11,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-11-05 09:23:59,MGZ01/ENTRA/00009,Vendors,MGZ01/Stock,105,105,,105,OP_INTERMITJA,Hecho
12,12,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-11-05 09:29:35,MGZ01/SURT/00010,MGZ01/Stock,Customers,27,,27,78,OP_INTERMITJA,Hecho
13,13,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-11-05 09:33:02,MGZ01/SURT/00011,MGZ01/Stock,Customers,33,,33,45,OP_INTERMITJA,Hecho
14,14,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-11-05 09:34:28,MGZ01/SURT/00012,MGZ01/Stock,Customers,45,,45,0,OP_INTERMITJA,Hecho
15,15,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-11-12 09:07:57,MGZ01/ENTRA/00012,Vendors,MGZ01/Stock,115,115,,115,OP_INTERMITJA,Hecho
16,16,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-11-12 09:15:02,MGZ01/SURT/00013,MGZ01/Stock,Customers,37,,37,78,OP_INTERMITJA,Hecho
17,17,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-11-12 09:24:20,MGZ01/SURT/00014,MGZ01/Stock,Customers,41,,41,37,OP_INTERMITJA,Hecho
18,18,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-11-12 09:25:44,MGZ01/SURT/00015,MGZ01/Stock,Customers,37,,37,0,OP_INTERMITJA,Hecho
19,19,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-11-19 09:10:07,MGZ01/ENTRA/00014,Vendors,MGZ01/Stock,96,96,,96,OP_INTERMITJA,Hecho
20,20,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-11-19 09:27:28,MGZ01/SURT/00016,MGZ01/Stock,Customers,32,,32,64,OP_INTERMITJA,Hecho
21,21,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-11-19 09:30:00,MGZ01/SURT/00017,MGZ01/Stock,Customers,33,,33,31,OP_INTERMITJA,Hecho
22,22,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-11-19 09:30:58,MGZ01/SURT/00018,MGZ01/Stock,Customers,31,,31,0,OP_INTERMITJA,Hecho
23,23,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-11-26 09:09:24,MGZ01/ENTRA/00016,Vendors,MGZ01/Stock,120,120,,120,OP_INTERMITJA,Hecho
24,24,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-11-26 09:10:40,MGZ01/SURT/00019,MGZ01/Stock,Customers,41,,41,79,OP_INTERMITJA,Hecho
25,25,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-11-26 09:11:43,MGZ01/SURT/00020,MGZ01/Stock,Customers,39,,39,40,OP_INTERMITJA,Hecho
26,26,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-11-26 09:12:39,MGZ01/SURT/00021,MGZ01/Stock,Customers,40,,40,0,OP_INTERMITJA,Hecho
27,27,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-12-04 08:44:19,MGZ01/ENTRA/00019,Vendors,MGZ01/Stock,97,97,,97,OP_INTERMITJA,Hecho
28,28,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-12-04 08:48:23,MGZ01/SURT/00022,MGZ01/Stock,Customers,31,,31,66,OP_INTERMITJA,Hecho
29,29,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-12-04 08:49:30,MGZ01/SURT/00023,MGZ01/Stock,Customers,36,,36,30,OP_INTERMITJA,Hecho
30,30,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-12-04 08:50:19,MGZ01/SURT/00024,MGZ01/Stock,Customers,30,,30,0,OP_INTERMITJA,Hecho
31,31,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-12-11 08:03:52,MGZ01/ENTRA/00020,Vendors,MGZ01/Stock,1,1,,1,OP_INTERMITJA,Hecho
32,32,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-12-11 08:17:58,MGZ01/SURT/00025,MGZ01/Stock,Vendors,1,,1,0,OP_INTERMITJA,Hecho
33,33,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-12-11 08:23:36,MGZ01/ENTRA/00023,Vendors,MGZ01/Stock,99,99,,99,OP_INTERMITJA,Hecho
34,34,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-12-11 08:26:09,MGZ01/SURT/00031,MGZ01/Stock,Customers,24,,24,75,OP_INTERMITJA,Hecho
35,35,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-12-11 08:27:12,MGZ01/SURT/00032,MGZ01/Stock,Customers,41,,41,34,OP_INTERMITJA,Hecho
36,36,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-12-11 08:30:33,MGZ01/SURT/00033,MGZ01/Stock,Customers,34,,34,0,OP_FINAL,Hecho
37,1,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-10-17 09:41:02,MGZ01/ENTRA/00001,Vendors,MGZ01/Stock,34,34,,34,OP_INICIAL,Hecho
38,2,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-10-17 10:22:08,MGZ01/SURT/00001,MGZ01/Stock,Customers,34,,34,0,OP_INTERMITJA,Hecho
39,3,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-10-22 12:50:44,MGZ01/ENTRA/00003,Vendors,MGZ01/Stock,105,105,,105,OP_INTERMITJA,Hecho
40,4,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-10-22 12:56:11,MGZ01/ENTRA/00005,Vendors,MGZ01/Stock,105,105,,210,OP_INTERMITJA,Hecho
41,5,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-10-23 08:29:24,Cantidad de producto actualizada (Nadal Sacares Moragues),MGZ01/Stock,Inventory adjustment,0,,0,210,OP_INTERMITJA,Hecho
42,6,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-10-23 08:49:09,MGZ01/SURT/00003,MGZ01/Stock,Customers,26,,26,184,OP_INTERMITJA,Hecho
43,7,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-10-23 08:49:48,MGZ01/SURT/00004,MGZ01/Stock,Customers,43,,43,141,OP_INTERMITJA,Hecho
44,8,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-10-23 08:51:46,MGZ01/SURT/00005,MGZ01/Stock,Customers,36,,36,105,OP_INTERMITJA,Hecho
45,9,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-10-24 09:47:58,MGZ01/SURT/00006,MGZ01/Stock,Vendors,105,,105,0,OP_INTERMITJA,Hecho
46,10,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-10-24 09:49:27,Cantidad de producto actualizada (Nadal Sacares Moragues),Inventory adjustment,MGZ01/Stock,0,0,,0,OP_INTERMITJA,Hecho
47,11,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-10-29 09:11:44,Cantidad de producto actualizada (Nadal Sacares Moragues) [revertido],MGZ01/Stock,Inventory adjustment,0,,0,0,OP_INTERMITJA,Hecho
48,12,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-10-29 09:30:26,MGZ01/ENTRA/00008,Vendors,MGZ01/Stock,90,90,,90,OP_INTERMITJA,Hecho
49,13,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-10-29 09:32:47,MGZ01/SURT/00007,MGZ01/Stock,Customers,29,,29,61,OP_INTERMITJA,Hecho
50,14,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-10-29 09:35:12,MGZ01/SURT/00008,MGZ01/Stock,Customers,27,,27,34,OP_INTERMITJA,Hecho
51,15,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-10-29 09:36:44,MGZ01/SURT/00009,MGZ01/Stock,Customers,34,,34,0,OP_INTERMITJA,Hecho
52,16,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-11-05 09:27:21,MGZ01/ENTRA/00010,Vendors,MGZ01/Stock,116,116,,116,OP_INTERMITJA,Hecho
53,17,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-11-05 09:29:35,MGZ01/SURT/00010,MGZ01/Stock,Customers,28,,28,88,OP_INTERMITJA,Hecho
54,18,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-11-05 09:33:02,MGZ01/SURT/00011,MGZ01/Stock,Customers,42,,42,46,OP_INTERMITJA,Hecho
55,19,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-11-05 09:34:28,MGZ01/SURT/00012,MGZ01/Stock,Customers,46,,46,0,OP_INTERMITJA,Hecho
56,20,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-11-12 09:05:58,MGZ01/ENTRA/00011,Vendors,MGZ01/Stock,111,111,,111,OP_INTERMITJA,Hecho
57,21,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-11-12 09:15:02,MGZ01/SURT/00013,MGZ01/Stock,Customers,38,,38,73,OP_INTERMITJA,Hecho
58,22,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-11-12 09:24:20,MGZ01/SURT/00014,MGZ01/Stock,Customers,41,,41,32,OP_INTERMITJA,Hecho
59,23,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-11-12 09:25:44,MGZ01/SURT/00015,MGZ01/Stock,Customers,32,,32,0,OP_INTERMITJA,Hecho
60,24,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-11-19 09:09:18,MGZ01/ENTRA/00013,Vendors,MGZ01/Stock,91,91,,91,OP_INTERMITJA,Hecho
61,25,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-11-19 09:27:28,MGZ01/SURT/00016,MGZ01/Stock,Customers,37,,37,54,OP_INTERMITJA,Hecho
62,26,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-11-19 09:30:00,MGZ01/SURT/00017,MGZ01/Stock,Customers,30,,30,24,OP_INTERMITJA,Hecho
63,27,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-11-19 09:30:58,MGZ01/SURT/00018,MGZ01/Stock,Customers,24,,24,0,OP_INTERMITJA,Hecho
64,28,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-11-26 09:08:09,MGZ01/ENTRA/00015,Vendors,MGZ01/Stock,98,98,,98,OP_INTERMITJA,Hecho
65,29,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-11-26 09:10:40,MGZ01/SURT/00019,MGZ01/Stock,Customers,28,,28,70,OP_INTERMITJA,Hecho
66,30,5796,ADG32 5796 NSACARES SL,_DF4598_,2025-11-26 09:11:43,MGZ01/SURT/00020,MGZ01/Stock,Customers,33,,33,37,OP_INTERMITJA,Hecho
