ID-TOTS,CLAU_UNICA,ID,A_EXPEDIENT_CA,A_EMPRESA_CA,A_REF_ODOO_CA,A_FECHA_ALTA_ODOO_CA,A_NUMERO_CA,A_FECHA_EMISION_CA,A_PROVEEDOR_CA,A_ORIGEN_CA,A_IMPORTE_CA,A_ACUMULADO_CA,A_ESTADO_CA
1,5796-C-C/00001,1,5796,ADG32 5796 NSACARES SL,MGZ01/ENTRA/00001,2025-10-17,5,17/10/2025,ROCALLA SA,C-C/00001,1314.06,1314.06,Hecho
2,5796-C-C/00002,2,5796,ADG32 5796 NSACARES SL,MGZ01/ENTRA/00002,2025-10-17,1,17/10/2025,ALUBIX SL,C-C/00002,1130.14,2444.20,Hecho
3,5796-C-C/00003,3,5796,ADG32 5796 NSACARES SL,MGZ01/ENTRA/00004,2025-10-22,10,22/10/2025,ALUBIX SL,C-C/00003,3714.70,6158.90,Hecho
4,5796-C-C/00004,4,5796,ADG32 5796 NSACARES SL,MGZ01/ENTRA/00005,2025-10-22,10,22/10/2025,ROCALLA SA,C-C/00004,4319.70,10478.60,Hecho
5,5796-C-C/00005,5,5796,ADG32 5796 NSACARES SL,MGZ01/ENTRA/00007,2025-10-29,13,29/10/2025,ALUBIX SL,C-C/00005,3780.04,14258.64,Hecho
6,5796-C-C/00006,6,5796,ADG32 5796 NSACARES SL,MGZ01/ENTRA/00008,2025-10-29,15,29/10/2025,ROCALLA SA,C-C/00006,4126.10,18384.74,Hecho
7,5796-C-C/00007,7,5796,ADG32 5796 NSACARES SL,MGZ01/ENTRA/00009,2025-11-05,17,05/11/2025,ALUBIX SL,C-C/00007,3523.52,21908.26,Hecho
8,5796-C-C/00008,8,5796,ADG32 5796 NSACARES SL,MGZ01/ENTRA/00010,2025-11-05,17,05/11/2025,ROCALLA SA,C-C/00008,4467.32,26375.58,Hecho
9,5796-C-C/00009,9,5796,ADG32 5796 NSACARES SL,MGZ01/ENTRA/00011,2025-11-12,18,12/11/2025,ROCALLA SA,C-C/00009,4481.84,30857.42,Hecho
10,5796-C-C/00010,10,5796,ADG32 5796 NSACARES SL,MGZ01/ENTRA/00012,2025-11-12,20,12/11/2025,ALUBIX SL,C-C/00010,4038.98,34896.40,Hecho
11,5796-C-C/00011,11,5796,ADG32 5796 NSACARES SL,MGZ01/ENTRA/00013,2025-11-19,22,19/11/2025,ROCALLA SA,C-C/00011,3574.34,38470.74,Hecho
12,5796-C-C/00012,12,5796,ADG32 5796 NSACARES SL,MGZ01/ENTRA/00014,2025-11-19,22,19/11/2025,ALUBIX SL,C-C/00012,3518.68,41989.42,Hecho
13,5796-C-C/00013,13,5796,ADG32 5796 NSACARES SL,MGZ01/ENTRA/00015,2025-11-26,27,26/11/2025,ROCALLA SA,C-C/00013,3947.02,45936.44,Hecho
14,5796-C-C/00014,14,5796,ADG32 5796 NSACARES SL,MGZ01/ENTRA/00016,2025-11-26,23,26/11/2025,ALUBIX SL,C-C/00014,3695.34,49631.78,Hecho
15,5796-C-C/00015,15,5796,ADG32 5796 NSACARES SL,MGZ01/ENTRA/00018,2025-12-04,31,03/12/2025,ROCALLA SA,C-C/00015,4157.56,53789.34,Hecho
16,5796-C-C/00016,16,5796,ADG32 5796 NSACARES SL,MGZ01/ENTRA/00019,2025-12-04,27,03/12/2025,ALUBIX SL,C-C/00016,3605.80,57395.14,Hecho
17,5796-C-C/00018,17,5796,ADG32 5796 NSACARES SL,MGZ01/ENTRA/00022,2025-12-11,32,10/12/2025,ROCALLA SA,C-C/00018,4414.08,61809.22,Hecho
18,5796-C-C/00019,18,5796,ADG32 5796 NSACARES SL,MGZ01/ENTRA/00023,2025-12-11,30,10/12/2025,ALUBIX SL,C-C/00019,3780.04,65589.26,Hecho
19,6265-C-C/00001,1,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00001,2025-10-17,5,17/10/2025,ALUBIX SL,C-C/00001,1274.13,1274.13,Hecho
20,6265-C-C/00002,2,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00002,2025-10-17,2,17/10/2025,ROCALLA SA,C-C/00002,1231.78,2505.91,Hecho
21,6265-C-C/00003,3,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00003,2025-10-22,6,22/10/2025,ALUBIX SL,C-C/00003,3816.34,6322.25,Hecho
22,6265-C-C/00004,4,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00005,2025-10-22,7,22/10/2025,ROCALLA SA,C-C/00004,4205.95,10528.20,Hecho
23,6265-C-C/00005,5,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00006,2025-10-29,11,29/10/2025,ALUBIX SL,C-C/00005,3764.31,14292.51,Hecho
24,6265-C-C/00006,6,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00007,2025-10-29,9,29/10/2025,ROCALLA SA,C-C/00006,3963.96,18256.47,Hecho
25,6265-C-C/00007,7,6265,ADG32 6265 SMORENO SL,MGZ01/ENTRA/00008,2025-11-05,13,05/11/2025,ALUBIX SL,C-C/00007,4164.82,22421.29,Hecho
