ID-TOTS,ID,A_EXPEDIENT_HES,A_EMPRESA_HES,A_PRODUCTE_HES,A_DATA_HES,A_REFERENCIA_HES,A_ORIGEN_HES,A_DESTI_HES,A_UNITATS_HES,A_IN_HES,A_OUT_HES,A_STOCK_HES,A_OPERACIO_HES,A_CLAU_UNICA_HES,A_ESTAT_HES
1,5,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-10-17 09:44:32,MGZ01/ENTRA/00002,Vendors,MGZ01/Stock,33,33,,33,OP_INICIAL,5796_AP8461_,Hecho
2,8,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-10-17 10:22:08,MGZ01/SURT/00001,MGZ01/Stock,Customers,33,,33,0,OP_INTERMITJA,5796_AP8461_,Hecho
3,13,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-10-22 12:54:43,MGZ01/ENTRA/00004,Vendors,MGZ01/Stock,100,100,,100,OP_INTERMITJA,5796_AP8461_,Hecho
4,20,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-10-23 08:49:09,MGZ01/SURT/00003,MGZ01/Stock,Customers,31,,31,69,OP_INTERMITJA,5796_AP8461_,Hecho
5,24,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-10-23 08:49:48,MGZ01/SURT/00004,MGZ01/Stock,Customers,32,,32,37,OP_INTERMITJA,5796_AP8461_,Hecho
6,26,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-10-23 08:51:46,MGZ01/SURT/00005,MGZ01/Stock,Customers,37,,37,0,OP_INTERMITJA,5796_AP8461_,Hecho
7,36,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-10-29 09:28:14,MGZ01/ENTRA/00007,Vendors,MGZ01/Stock,113,113,,113,OP_INTERMITJA,5796_AP8461_,Hecho
8,41,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-10-29 09:32:47,MGZ01/SURT/00007,MGZ01/Stock,Customers,34,,34,79,OP_INTERMITJA,5796_AP8461_,Hecho
9,47,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-10-29 09:35:12,MGZ01/SURT/00008,MGZ01/Stock,Customers,36,,36,43,OP_INTERMITJA,5796_AP8461_,Hecho
10,50,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-10-29 09:36:44,MGZ01/SURT/00009,MGZ01/Stock,Customers,43,,43,0,OP_INTERMITJA,5796_AP8461_,Hecho
11,52,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-11-05 09:23:59,MGZ01/ENTRA/00009,Vendors,MGZ01/Stock,105,105,,105,OP_INTERMITJA,5796_AP8461_,Hecho
12,58,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-11-05 09:29:35,MGZ01/SURT/00010,MGZ01/Stock,Customers,27,,27,78,OP_INTERMITJA,5796_AP8461_,Hecho
13,61,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-11-05 09:33:02,MGZ01/SURT/00011,MGZ01/Stock,Customers,33,,33,45,OP_INTERMITJA,5796_AP8461_,Hecho
14,65,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-11-05 09:34:28,MGZ01/SURT/00012,MGZ01/Stock,Customers,45,,45,0,OP_INTERMITJA,5796_AP8461_,Hecho
15,70,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-11-12 09:07:57,MGZ01/ENTRA/00012,Vendors,MGZ01/Stock,115,115,,115,OP_INTERMITJA,5796_AP8461_,Hecho
16,74,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-11-12 09:15:02,MGZ01/SURT/00013,MGZ01/Stock,Customers,37,,37,78,OP_INTERMITJA,5796_AP8461_,Hecho
17,78,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-11-12 09:24:20,MGZ01/SURT/00014,MGZ01/Stock,Customers,41,,41,37,OP_INTERMITJA,5796_AP8461_,Hecho
18,81,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-11-12 09:25:44,MGZ01/SURT/00015,MGZ01/Stock,Customers,37,,37,0,OP_INTERMITJA,5796_AP8461_,Hecho
19,86,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-11-19 09:10:07,MGZ01/ENTRA/00014,Vendors,MGZ01/Stock,96,96,,96,OP_INTERMITJA,5796_AP8461_,Hecho
20,91,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-11-19 09:27:28,MGZ01/SURT/00016,MGZ01/Stock,Customers,32,,32,64,OP_INTERMITJA,5796_AP8461_,Hecho
21,93,5796,ADG32 5796 NSACARES SL,_AP8461_,2025-11-19 09:30:00,MGZ01/SURT/00017,MGZ01/Stock,Customers,33,,33,31,OP_INTERMITJA,5796_AP8461_,Hecho
