EMPRESA,EXPEDIENT,PRODUCTE,UF - RESUM INVENTARI,UF - HES INVENTARI,UF COINCIDEIXEN,PENDENTS ENTRAR,PENDENTS ENTRAR = 0,PENDENTS SORTIR,PENDENTS SORTIR = 0,STOCKS NEGATIUS,RESULTAT,OBSERVACIONS
ADG32 5796 NSACARES SL,"5796,00",_AP8461_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 5796 NSACARES SL,"5796,00",_DF4598_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 5796 NSACARES SL,"5796,00",_FA6235_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 5796 NSACARES SL,"5796,00",_LA5365_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6265 SMORENO SL,"6265,00",_P001_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6265 SMORENO SL,"6265,00",_P002_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6265 SMORENO SL,"6265,00",_P003_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6265 SMORENO SL,"6265,00",_P004_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6320 MNAVARRO SL,"6320,00",_MN2001_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6320 MNAVARRO SL,"6320,00",_MN2002_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6320 MNAVARRO SL,"6320,00",_MN2003_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6320 MNAVARRO SL,"6320,00",_MN2004_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6352 SAANANOU SL,"6352,00",_LGM171_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6352 SAANANOU SL,"6352,00",_PB20000-W_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6352 SAANANOU SL,"6352,00",_SDU3_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6352 SAANANOU SL,"6352,00",_TCB355_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6356 WAANANOU SL,"6356,00",_8846295_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6356 WAANANOU SL,"6356,00",_9644056_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6356 WAANANOU SL,"6356,00",_9644096_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6356 WAANANOU SL,"6356,00",_97140MB_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6366 JMORAGUES SL,"6366,00",_A0001_,1,1.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6366 JMORAGUES SL,"6366,00",_A0002_,1,1.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6366 JMORAGUES SL,"6366,00",_A0003_,1,1.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6366 JMORAGUES SL,"6366,00",_A0004_,1,1.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6368 LPIZA SL,"6368,00",_AD003_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6368 LPIZA SL,"6368,00",_FL004_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6368 LPIZA SL,"6368,00",_SW002_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6368 LPIZA SL,"6368,00",_TP001_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6369 VMASTRANGELO SL,"6369,00",_PA0001_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6369 VMASTRANGELO SL,"6369,00",_PE0001_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6369 VMASTRANGELO SL,"6369,00",_PO0001_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6369 VMASTRANGELO SL,"6369,00",_SI0001_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6427 NANANOU SL,"6427,00",_ALC-96-0110L_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6427 NANANOU SL,"6427,00",_GDL-100-028X_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6427 NANANOU SL,"6427,00",_TIR-250-00250P_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6427 NANANOU SL,"6427,00",_TJR-02-050E_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6428 ABOUBAL SL,"6428,00",_AC002_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6428 ABOUBAL SL,"6428,00",_NB004_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6428 ABOUBAL SL,"6428,00",_OM001_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6428 ABOUBAL SL,"6428,00",_RP003_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6431 GZOUGGAGHI SL,"6431,00",_501_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6431 GZOUGGAGHI SL,"6431,00",_502_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6431 GZOUGGAGHI SL,"6431,00",_503_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6431 GZOUGGAGHI SL,"6431,00",_504_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6702 NFORNES SL,"6702,00",_BOT-004_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
