R_IDTOTS_C,R_ID_C,R_EXPEDIENT_C,R_EMPRESA_C,R_ESTADO_FC,R_PROVEEDOR_C,R_FECHA_EMISION_C,R_NUMERO_CP,R_NUMERO_CA,R_NUMERO_CF,R_IMPORTE_C,R_ACUMULADO_C,R_FECHA_ENTREGA,Expediente,Empresa,Data entrega,Estat entrega,A_NUMERO_CP,A_CLAU_UNICA_CP,_merge_01,A_IDTOTS_CF,A_CLAU_UNICA_CF,A_ID_CF,A_EXPEDIENT_CF,A_EMPRESA_CF,A_REF_ODOO_CF,A_PROVEEDOR_CF,A_NUMERO_CF,A_FECHA_EMISION_CF,A_ORIGEN_CF,A_IMPORTE_CF,A_ACUMULADO_CF,A_ESTADO_PAGO_CF,_merge
1,1,5796,ADG32 5796 NSACARES SL,Cancel·lada,ALUBIX SL,2025-10-17,535275,1,2025/00001,1130.14,1130.14,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,535275,5796-C-C/00002,both,2,5796-C-C/00002,2,5796,ADG32 5796 NSACARES SL,FC/2025/0002,ALUBIX SL,2025/00001,2025-10-17,C-C/00002,1130.14,2444.2,Pagada,both
2,2,5796,ADG32 5796 NSACARES SL,Cancel·lada,ROCALLA SA,2025-10-17,535296,5,2025/00002,1314.06,2444.2,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,535296,5796-C-C/00001,both,1,5796-C-C/00001,1,5796,ADG32 5796 NSACARES SL,FC/2025/0001,ROCALLA SA,2025/00002,2025-10-17,C-C/00001,1314.06,1314.06,Publicado,both
3,3,5796,ADG32 5796 NSACARES SL,Pagada,ALUBIX SL,2025-10-22,537495,10,2025/00005,3714.7,6158.9,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,537495,5796-C-C/00003,both,3,5796-C-C/00003,3,5796,ADG32 5796 NSACARES SL,FC/2025/0004,ALUBIX SL,2025/00005,2025-10-22,C-C/00003,3714.7,6158.9,Publicado,both
4,4,5796,ADG32 5796 NSACARES SL,Pagada,ROCALLA SA,2025-10-22,537501,10,2025/00005,4319.7,10478.6,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,537501,5796-C-C/00004,both,4,5796-C-C/00004,4,5796,ADG32 5796 NSACARES SL,FC/2025/0003,ROCALLA SA,2025/00005,2025-10-22,C-C/00004,4319.7,10478.6,Publicado,both
5,5,5796,ADG32 5796 NSACARES SL,Pagada,ALUBIX SL,2025-10-29,540082,13,2025/00006,3780.04,14258.64,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,540082,5796-C-C/00005,both,5,5796-C-C/00005,5,5796,ADG32 5796 NSACARES SL,FC/2025/0006,ALUBIX SL,2025/00006,2025-10-29,C-C/00005,3780.04,14258.64,Pagada,both
6,6,5796,ADG32 5796 NSACARES SL,Pagada,ROCALLA SA,2025-10-29,540087,15,2025/00010,4126.1,18384.74,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,540087,5796-C-C/00006,both,6,5796-C-C/00006,6,5796,ADG32 5796 NSACARES SL,FC/2025/0005,ROCALLA SA,2025/00010,2025-10-29,C-C/00006,4126.1,18384.74,Pagada,both
7,7,5796,ADG32 5796 NSACARES SL,Pagada,ALUBIX SL,2025-11-05,542282,17,2025/00008,3523.52,21908.26,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,542282,5796-C-C/00007,both,7,5796-C-C/00007,7,5796,ADG32 5796 NSACARES SL,FC/2025/0007,ALUBIX SL,2025/00008,2025-11-05,C-C/00007,3523.52,21908.26,Pagada,both
8,8,5796,ADG32 5796 NSACARES SL,Pagada,ROCALLA SA,2025-11-05,542284,17,2025/00013,4467.32,26375.58,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,542284,5796-C-C/00008,both,8,5796-C-C/00008,8,5796,ADG32 5796 NSACARES SL,FC/2025/0008,ROCALLA SA,2025/00013,2025-11-05,C-C/00008,4467.32,26375.58,Pagada,both
9,9,5796,ADG32 5796 NSACARES SL,Pagada,ALUBIX SL,2025-11-12,544978,20,2025/00013,4038.98,30414.56,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,544978,5796-C-C/00010,both,10,5796-C-C/00010,10,5796,ADG32 5796 NSACARES SL,FC/2025/0009,ALUBIX SL,2025/00013,2025-11-12,C-C/00010,4038.98,34896.4,Pagada,both
10,10,5796,ADG32 5796 NSACARES SL,Pagada,ROCALLA SA,2025-11-12,544979,18,2025/00017,4481.84,34896.4,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA,544979,5796-C-C/00009,both,9,5796-C-C/00009,9,5796,ADG32 5796 NSACARES SL,FC/2025/0010,ROCALLA SA,2025/00017,2025-11-12,C-C/00009,4481.84,30857.42,Pagada,both
